date,BAC,BK,C,FHN,FITB,HBAN,JPM,KEY,MTB,NTRS,PBCT,PNC,RF,ZION,STI,TFC,USB,WFC,SPY
2002-01-08,-0.016003837,-0.014106993,-0.036777629,-0.010893853,-0.005157958,0.001693997,-0.00771216,-0.00686869,-0.009094561,-0.017574978,0.004221414,-0.008064481,-0.009180295,-0.001703258,-0.022282773,-0.018670964,-0.00238205,-0.00388301,-0.002311878
2002-01-09,-0.002415422,0.003000289,0.005858574,-0.014402648,-0.011989658,-0.005637,0.002849757,-0.002440987,-0.001349689,0.002954215,-0.013078035,-0.008130109,0.002647255,-0.004549795,0.013280825,-0.009513154,-0.009551135,-0.005044742,-0.008153081
2002-01-10,0.00080709,0.043488248,0.001205074,-0.007449893,0.001639919,0.009070286,0.011108249,0.00326264,0.025814349,0.01227295,0.00851864,0.005520272,0.00396036,-0.001333074,0.002103577,-0.000282546,0.012536173,0.001843785,0.004412928
2002-01-11,-0.017741911,-0.009922807,-0.015646916,0.006350982,-0.00687626,-0.004494378,-0.020439429,-0.006097545,-0.017918321,-0.005657974,-0.005161834,-0.002661784,-0.013477935,-0.011250957,-0.005490072,-0.013845659,-0.02999996,-0.003910789,-0.009820808
2002-01-14,-0.00295567,-0.019821853,-0.003872069,-0.011187606,-0.008902092,-0.0146727,-0.026864861,-0.001227022,-0.010061712,-0.040806347,-0.02122644,-0.007506268,0.001332851,-0.01195755,-0.021432046,-0.010601797,-0.000981858,-0.006466485,-0.006264148
2002-01-15,0.01202239,-0.005907781,0.017184993,0.00957363,0.030439153,0.021191344,0.015009315,0.00737102,0.027239492,0.007118613,0.007710879,0.020672261,0.019301157,0.009564741,0.012444002,0.017086596,0.017199036,0.053463487,0.008142184
2002-01-16,-0.01057773,-0.011885699,-0.017296874,0.001436784,-0.003874119,-0.016264667,-0.035912349,-0.010569115,-0.012533041,-0.014641517,0.007173574,-0.007080525,-0.009141332,0.000580023,-0.019993465,-0.00882681,-0.026570103,0.000661932,-0.020234492
2002-01-17,0.005263153,-0.010872028,0.021285292,0.002869446,0.006968082,0.014253135,0.009312522,0.021774884,0.005611198,0.010760053,-0.003798635,0.010447779,0.014168058,0.003864749,0.01220735,0.007181844,0.013399527,0.005733234,0.007534112
2002-01-18,-0.005235597,0.002104734,0.001202417,-0.005150293,0.001287445,-0.023046753,-0.025508783,0.005227147,0.001860064,-0.006252094,0.015252584,0.005416019,0.000649754,-0.004619859,-0.004130183,-0.00370796,0,-0.005042744,-0.004574616
2002-01-22,0.030756562,-0.001867001,-0.015212182,0.002300907,0.002892965,-0.009781363,-0.004177152,-0.000400009,0.006895592,-0.000850247,-0.000938985,-0.002122058,0.005519513,-0.003674311,0,-0.001145174,0.00293827,0.028426555,-0.006893493
